Product_ID,Platform,Original Price,Discounted Price,Handling fee,Delivery fee,Delivery time(mins),Delivery time(days),Availability 
P001,OZi,1299,1275,0,0,33,,Yes
P001,firstcry,1299,1273,4,0,,6,Yes
P001,blinkit,1299,1274,2,0,12,,Yes
P002,OZi,890,723,0,0,52,,Yes
P002,firstcry,937,698,4,50,,1,Yes
P002,blinkit,999,744,2,0,13,,Yes
P003,OZi,350,350,0,0,33,,Yes
P003,firstcry,350,322,4,50,,1,Yes
P003,blinkit,NA,NA,NA,NA,NA,NA,No
P004,OZi,NA,NA,NA,NA,NA,NA,No
P004,firstcry,1589,897,4,0,,6,Yes
P004,blinkit,NA,NA,NA,NA,NA,NA,No
P005,OZi,299,189,0,0,52,,Yes
P005,firstcry,299,209,4,50,,2,Yes
P005,blinkit,299,189,2,0,11,,Yes
P006,OZi,630,630,0,0,33,,Yes
P006,firstcry,630,598,4,50,,1,Yes
P006,blinkit,630,630,2,0,13,,Yes
P007,OZi,243,183,0,0,33,,Yes
P007,firstcry,243,189,4,50,,1,Yes
P007,blinkit,NA,NA,NA,NA,NA,NA,No
P008,OZi,775,775,0,0,33,,Yes
P008,firstcry,775,775,4,0,,1,Yes
P008,blinkit,775,775,2,0,8,,Yes
P009,OZi,490,490,0,0,33,,Yes
P009,firstcry,495,495,4,50,,1,Yes
P009,blinkit,490,490,2,0,13,,Yes
P010,OZi,311,311,0,0,52,,Yes
P010,firstcry,311,295,4,50,,1,Yes
P010,blinkit,349,349,2,0,12,,Yes
P011,OZi,585,585,0,0,33,,Yes
P011,firstcry,585,585,4,50,,2,Yes
P011,blinkit,585,585,2,0,8,,Yes
P012,OZi,95,95,0,0,33,,Yes
P012,firstcry,95,95,4,50,,4,Yes
P012,blinkit,95,95,2,25,12,,Yes
P013,OZi,799,799,0,0,52,,Yes
P013,firstcry,799,618,4,50,,6,Yes
P013,blinkit,NA,NA,NA,NA,NA,NA,No
P014,OZi,NA,NA,NA,NA,NA,NA,No
P014,firstcry,100,85,4,50,,5,Yes
P014,blinkit,100,100,2,0,11,,Yes
P015,OZi,67,67,0,0,33,,Yes
P015,firstcry,NA,NA,NA,NA,NA,NA,No
P015,blinkit,72,72,2,25,11,,Yes
P016,OZi,129,129,0,0,33,,Yes
P016,firstcry,129,126,4,50,,1,Yes
P016,blinkit,129,129,2,0,12,,Yes
P017,OZi,249,245,0,0,33,,Yes
P017,firstcry,NA,NA,NA,NA,NA,NA,No
P017,blinkit,NA,NA,NA,NA,NA,NA,No
P018,OZi,829,759,0,0,33,,Yes
P018,firstcry,850,800,4,0,,4,Yes
P018,blinkit,900,806,2,0,12,,Yes
P019,OZi,1620,1539,0,0,52,,Yes
P019,firstcry,1620,1539,4,0,,1,Yes
P019,blinkit,NA,NA,NA,NA,NA,NA,No
P020,OZi,210,199,0,0,52,,Yes
P020,firstcry,NA,NA,NA,NA,NA,NA,No
P020,blinkit,220,198,2,0,8,,Yes
P021,OZi,260,195,0,0,33,,Yes
P021,firstcry,NA,NA,NA,NA,NA,NA,No
P021,blinkit,243,195,2,0,16,,Yes
P022,OZi,499,407,0,0,33,,Yes
P022,firstcry,465,441,4,50,,5,Yes
P022,blinkit,NA,NA,NA,NA,NA,NA,No
P023,OZi,1499,1379,0,0,33,,Yes
P023,firstcry,1499,1454,4,0,,5,Yes
P023,blinkit,NA,NA,NA,NA,NA,NA,No
P024,OZi,349,299,0,0,52,,Yes
P024,firstcry,349,261,4,50,,4,Yes
P024,blinkit,NA,NA,NA,NA,NA,NA,No
P025,OZi,799,600,0,0,52,,Yes
P025,firstcry,800,600,4,50,,5,Yes
P025,blinkit,799,539,2,0,12,,Yes
P026,OZi,66,66,0,0,52,,Yes
P026,firstcry,NA,NA,NA,NA,NA,NA,No
P026,blinkit,65,65,2,25,9,,Yes
P027,OZi,2080,1585,0,0,33,,Yes
P027,firstcry,NA,NA,NA,NA,NA,NA,No
P027,blinkit,2661,1299,2,0,15,,Yes