Product_ID,Category,Subcategory,Brand,Product_name
P001,Diapering and Hygiene,Baby Diapers,Bambo Nature,Tape Diapers Medium 28 Pcs
P002,Diapering and Hygiene,Baby Diapers,MamyPoko Pants,Extra absorb Diaper Small 66 Pcs
P003,Diapering and Hygiene,Baby Diapers,Pampers,Pampers Premium Care Large Diapers 16 Pcs
P004,Diapering and Hygiene,Baby Wipes,WaterWipes,WaterWipes Baby Wipes Pack of 2 (120 wipes)
P005,Diapering and Hygiene,Baby Wipes,Mother Sparsh,99% Pure Water Unscented Baby wipes (72 Pcs)
P006,Diapering and Hygiene,Rash cream,Sebamed,Sebamed Diaper Rash Cream 100 ml
P007,Diapering and Hygiene,Rash cream,Himalaya,Himalaya Herbal relief diaper rash cream 100 ml
P008,Feeding and Nutrition,Formula,Nestle,NAN PRO Stage 2 Follow up milk powder 400 Gm
P009,Feeding and Nutrition,Formula,Dexolac,Dexolac Stage 1 Infant formula 400 gm
P010,Feeding and Nutrition,Cereal,Slurrp Farm,"Strawberry, Ragi and rice cereal 200 g"
P011,Feeding and Nutrition,Feeding Bottle,Philips,Philips Avent Baby bottle anti-colic 260 ml
P012,Feeding and Nutrition,Bottle Nipples,Pigeon,Pigeon Peristaltic Nipple Large
P013,Feeding and Nutrition,,Luvlap,"Leakproof baby breastmillk storage bags, pack of 50"
P014,Health and wellness,Stomach care,Woodward,Gripe water 200 ml
P015,Health and wellness,Cold and cough,Nascoclear,Nasoclear Saline Nasal Spray 20 ML
P016,Health and wellness,Mosquito,Mamaearth,Mamaearth Fabric Roll-On Mosquito Repellent
P017,Health and wellness,Teether,Mee Mee,"Mee Mee Heart-Headed Elephant Silicone Teether Pink, 0-24 M"
P018,Bath and skin,Wash,Cetaphil,Cetaphil Baby Gentle Wash & Shampoo – 230ml for Soft Hair & Skin
P019,Bath and skin,Lotion,Sebamed,Sebamed body lotion 400 ml
P020,Bath and skin,Body wash,Johnsons,Johnsons top to toe wash 200 ml
P021,Bath and skin,Lotion,Dabur Lal,Dabur Lal Tail 200 ml
P022,Mom care,Sanitary pads,Lansinoh,"Lansinoh Disposable Nursing Pads – Ultra-Thin, Super Absorbent, Pack of 24"
P023,Mom care,Beauty,Lansinoh,Lansinoh Lanolin Nipple Cream 40 ml
P024,Mom care,Sanitary pads,Plush,"Plush XXXL Maternity Pads for Postpartum Bleeding, Pack of 10"
P025,Mom care,Breast pump,Luvlap,"LuvLap 3 Level Suction Manual Breast Pump, 200ml"
P026,Health and wellness,Stomach care,Meyer,"Colicaid Infant & Toddler Drop | For Infant Colic, Griping Pain & Flatulence 15 ML"
P027,Health and wellness,Medical device,Dr Trust,"Dr Trust USA Forehead Digital Infrared Thermometer with Color Coded Fever Guidance, 615"